id;Текст даты;Атрибут when;Контекст (для ИИ);event_ref
431;27 февраля 1852 г.;1852-02-27;118 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;#event_1884_431
432;22 января 1853 г.;1853-01-22;118 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;#event_1884_432
433;1852 г.;1852;118 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;#event_1884_433
434;3 марта 1853 г.;1853-03-03;118 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;#event_1884_434
435;1852 г.;1852;118 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;#event_1884_435
436;3 марта 1853 г.;1853-03-03;118 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;#event_1884_436
437;24 сентября 1852 г.;1852-09-24;118 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;#event_1884_437
438;30 января 1853 г.;1853-01-30;118 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;#event_1884_438
439;1851 г.;1851;119 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;#event_1884_439
440;27 февраля 1852 г.;1852-02-27;119 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;#event_1884_440
441;22 января 1853 г.;1853-01-22;119 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;#event_1884_441
442;1852 г.;1852;119 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;#event_1884_442
443;3 марта 1853 г.;1853-03-03;119 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;#event_1884_443
444;1852 г.;1852;119 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;#event_1884_444
445;3 марта 1853 г.;1853-03-03;119 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;#event_1884_445
446;24 сентября 1852 г.;1852-09-24;119 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;#event_1884_446
447;30 января 1853 г.;1853-01-30;119 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;#event_1884_447
448;1851 г.;1851;120 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными С;#event_1884_448
449;1852 г.;1852;120 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными С;#event_1884_449
450;10 сентября 1852 г.;1852-09-10;120 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными С;#event_1884_450
451;1853 г.;1853;120 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными С;#event_1884_451
452;1851 г.;1851;120 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными С;#event_1884_452
453;16 июля 1852 г.;1852-07-16;120 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными С;#event_1884_453
454;3 марта 1853 г.;1853-03-03;120 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными С;#event_1884_454
455;1852 г.;1852;120 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными С;#event_1884_455
456;3 марта 1853 г.;1853-03-03;120 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными С;#event_1884_456
457;1851 г.;1851;121 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными С;#event_1884_457
458;1852 г.;1852;121 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными С;#event_1884_458
459;10 сентября 1852 г.;1852-09-10;121 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными С;#event_1884_459
460;1853 г.;1853;121 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными С;#event_1884_460
461;1851 г.;1851;121 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными С;#event_1884_461
462;16 июля 1852 г.;1852-07-16;121 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными С;#event_1884_462
463;3 марта 1853 г.;1853-03-03;121 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными С;#event_1884_463
464;1852 г.;1852;121 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными С;#event_1884_464
465;3 марта 1853 г.;1853-03-03;121 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными С;#event_1884_465
466;16 июня 1851 г.;1851-06-16;122 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;#event_1884_466
467;14 декабря 1851 г.;1851-12-14;122 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;#event_1884_467
468;24 января 1853 г.;1853-01-24;122 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;#event_1884_468
469;24 марта 1852 г.;1852-03-24;122 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;#event_1884_469
470;3 марта 1853 г.;1853-03-03;122 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;#event_1884_470
471;27 февраля 1852 г.;1852-02-27;122 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;#event_1884_471
472;1853 г.;1853;122 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;#event_1884_472
473;16 июня 1851 г.;1851-06-16;123 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;#event_1884_473
474;14 декабря 1851 г.;1851-12-14;123 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;#event_1884_474
475;24 января 1853 г.;1853-01-24;123 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;#event_1884_475
476;24 марта 1852 г.;1852-03-24;123 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;#event_1884_476
477;3 марта 1853 г.;1853-03-03;123 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;#event_1884_477
478;27 февраля 1852 г.;1852-02-27;123 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;#event_1884_478
479;1853 г.;1853;123 № п/п № ведомости прошедшего года Время поступления Содержание дел За чем остаются нерешенными 2;#event_1884_479
480;1851 г.;1851;126 ПО КАКИМ ПРИСУТСТВЕННЫМ МЕСТАМ СУДЕБНЫЕ ПРИГОВОРЫ От;#event_1884_480
481;1852 г.;1852;126 ПО КАКИМ ПРИСУТСТВЕННЫМ МЕСТАМ СУДЕБНЫЕ ПРИГОВОРЫ От;#event_1884_481
482;1853 г.;1853;126 ПО КАКИМ ПРИСУТСТВЕННЫМ МЕСТАМ СУДЕБНЫЕ ПРИГОВОРЫ От;#event_1884_482
483;1851 г.;1851;126 ПО КАКИМ ПРИСУТСТВЕННЫМ МЕСТАМ СУДЕБНЫЕ ПРИГОВОРЫ От;#event_1884_483
484;1852 г.;1852;126 ПО КАКИМ ПРИСУТСТВЕННЫМ МЕСТАМ СУДЕБНЫЕ ПРИГОВОРЫ От;#event_1884_484
485;1852 г.;1852;126 ПО КАКИМ ПРИСУТСТВЕННЫМ МЕСТАМ СУДЕБНЫЕ ПРИГОВОРЫ От;#event_1884_485
486;1853 г.;1853;126 ПО КАКИМ ПРИСУТСТВЕННЫМ МЕСТАМ СУДЕБНЫЕ ПРИГОВОРЫ От;#event_1884_486
487;1852 г.;1852;126 ПО КАКИМ ПРИСУТСТВЕННЫМ МЕСТАМ СУДЕБНЫЕ ПРИГОВОРЫ От;#event_1884_487
488;1852 г.;1852;126 ПО КАКИМ ПРИСУТСТВЕННЫМ МЕСТАМ СУДЕБНЫЕ ПРИГОВОРЫ От;#event_1884_488
489;1851 г.;1851;127 ПО КАКИМ ПРИСУТСТВЕННЫМ МЕСТАМ СУДЕБНЫЕ ПРИГОВОРЫ От;#event_1884_489
490;1852 г.;1852;127 ПО КАКИМ ПРИСУТСТВЕННЫМ МЕСТАМ СУДЕБНЫЕ ПРИГОВОРЫ От;#event_1884_490
491;1853 г.;1853;127 ПО КАКИМ ПРИСУТСТВЕННЫМ МЕСТАМ СУДЕБНЫЕ ПРИГОВОРЫ От;#event_1884_491
492;1851 г.;1851;127 ПО КАКИМ ПРИСУТСТВЕННЫМ МЕСТАМ СУДЕБНЫЕ ПРИГОВОРЫ От;#event_1884_492
493;1852 г.;1852;127 ПО КАКИМ ПРИСУТСТВЕННЫМ МЕСТАМ СУДЕБНЫЕ ПРИГОВОРЫ От;#event_1884_493
494;1852 г.;1852;127 ПО КАКИМ ПРИСУТСТВЕННЫМ МЕСТАМ СУДЕБНЫЕ ПРИГОВОРЫ От;#event_1884_494
495;1853 г.;1853;127 ПО КАКИМ ПРИСУТСТВЕННЫМ МЕСТАМ СУДЕБНЫЕ ПРИГОВОРЫ От;#event_1884_495
496;1852 г.;1852;127 ПО КАКИМ ПРИСУТСТВЕННЫМ МЕСТАМ СУДЕБНЫЕ ПРИГОВОРЫ От;#event_1884_496
497;1852 г.;1852;127 ПО КАКИМ ПРИСУТСТВЕННЫМ МЕСТАМ СУДЕБНЫЕ ПРИГОВОРЫ От;#event_1884_497
498;1852 г.;1852;134 2. Опеки по особому Высочайшему повелению нет. 3. Попечительство над несовершеннолетними, достиг;#event_1884_498
499;1852 г.;1852;134 2. Опеки по особому Высочайшему повелению нет. 3. Попечительство над несовершеннолетними, достиг;#event_1884_499
500;14 мая 1827 г.;1827-05-14;134 2. Опеки по особому Высочайшему повелению нет. 3. Попечительство над несовершеннолетними, достиг;#event_1884_500
501;19 июля 1852 г.;1852-07-19;134 2. Опеки по особому Высочайшему повелению нет. 3. Попечительство над несовершеннолетними, достиг;#event_1884_501
502;1842 г.;1842;136 Каких сумм На серебро СостоялоПрибыло Убыло Состоит руб. коп. руб. коп. руб. коп. руб. коп. 4. В;#event_1884_502
503;7 июля 1843 г.;1843-07-07;136 Каких сумм На серебро СостоялоПрибыло Убыло Состоит руб. коп. руб. коп. руб. коп. руб. коп. 4. В;#event_1884_503
504;1852 г.;1852;138 Названия городов и округов Количество наличного скота в местах выявления падежа ЗаболелоПало Выз;#event_1884_504
505;1852 г.;1852;143 НАЗВАНИЕ ГОРОДОВ Остаток от прошедших годов Приход за;#event_1884_505
506;1852 г.;1852;143 НАЗВАНИЕ ГОРОДОВ Остаток от прошедших годов Приход за;#event_1884_506
507;1853 г.;1853;143 НАЗВАНИЕ ГОРОДОВ Остаток от прошедших годов Приход за;#event_1884_507
508;1852 г.;1852;143 НАЗВАНИЕ ГОРОДОВ Остаток от прошедших годов Приход за;#event_1884_508
509;1 января 1853 г.;1853-01-01;143 НАЗВАНИЕ ГОРОДОВ Остаток от прошедших годов Приход за;#event_1884_509
510;1852 г.;1852;143 НАЗВАНИЕ ГОРОДОВ Остаток от прошедших годов Приход за;#event_1884_510
511;1852 г.;1852;143 НАЗВАНИЕ ГОРОДОВ Остаток от прошедших годов Приход за;#event_1884_511
512;1852 г.;1852;143 НАЗВАНИЕ ГОРОДОВ Остаток от прошедших годов Приход за;#event_1884_512
513;1852 г.;1852;149 НАЗВАНИЕ ГОРОДОВ Домов Торговых лавок ДРУГИХ ЗДАНИЙ казенных частных каменных деревянных каменны;#event_1884_513
514;1852 г.;1852;150 Число войск В губернии находится казаков конного казачьего полка — 978, внутренней стражи — 868,;#event_1884_514
515;1852 г.;1852;"151 14) от продажи железных аршин — 31 руб. 95 коп.; 15) ясачного сбора деньгами — 13 745 руб. 21 ¼ ";#event_1884_515
516;1852 г.;1852;153 Название реки Число проплывших Число судорабочих Общая ценность груза Пристани Каналы судовплото;#event_1884_516
517;1852 г.;1852;153 Название реки Число проплывших Число судорабочих Общая ценность груза Пристани Каналы судовплото;#event_1884_517
518;1850 г.;1850;157 Звание городов и селений, где находятся фабрики и заводы Какие фабрики и заводы и сколько На как;#event_1884_518
519;1 января 1851 г.;1851-01-01;160 ОЗНАЧЕНИЕ ОКРУГОВ Хлебные запасы Число душ, подлежащих сбору Число магазинов К;#event_1884_519
520;1 января 1853 г.;1853-01-01;СОСЛОВИЙ Хлебные запасы Число душ К;#event_1884_520
