ID;Текст даты;Атрибут when;Контекст (для ИИ);event-ref (заполнить)
13;1865 г.;1865;9 Ж. Заводы В;
14;1866 г.;1866;9 Ж. Заводы В;
15;1866 г.;1866;9 Ж. Заводы В;
16;1865 г.;1865;"10 Вынуто песку, кубических сажень:  1-й системы — 156 6761/4;  2-й — 107 9363/4;  3-й — 21 135; ";
17;1866 г.;1866;11 тем в чашах, на боронах, буторах , важгердтах и на решетках, заимствованных из Американского спос;
18;1866 г.;1866;13 К прекращению побегов и поимке бежавших приняты надлежащие меры. На промыслах;
19;1866 г.;1866;13 К прекращению побегов и поимке бежавших приняты надлежащие меры. На промыслах;
20;1866 г.;1866;"Больных Выздоро- Умерло было вело  1-й системы 876 746 98;  2-й 841 725 104;  3-й 120 113 7;  4-";
21;1866 г.;1866;16 В видах облегчения от излишней ноши рабочим, выходящим с Северной системы;
22;1866 г.;1866;16 В видах облегчения от излишней ноши рабочим, выходящим с Северной системы;
23;1865 г.;1865;16 В видах облегчения от излишней ноши рабочим, выходящим с Северной системы;
24;1867 г.;1867;16 В видах облегчения от излишней ноши рабочим, выходящим с Северной системы;
25;1866 г.;1866;17 Главнейшая пристань в губернии находится в;
26;1866 г.;1866;17 Главнейшая пристань в губернии находится в;
27;1865 г.;1865;17 Главнейшая пристань в губернии находится в;
28;1865 г.;1865;17 Главнейшая пристань в губернии находится в;
29;1866 г.;1866;17 Главнейшая пристань в губернии находится в;
30;1866 г.;1866;17 Главнейшая пристань в губернии находится в;
31;1865 г.;1865;17 Главнейшая пристань в губернии находится в;
32;1852 г.;1852;18 Й. Сельские обыватели Государственные крестьяне составляют большую половину всего народонаселения;
33;1866 г.;1866;18 Й. Сельские обыватели Государственные крестьяне составляют большую половину всего народонаселения;
34;1866 г.;1866;18 Й. Сельские обыватели Государственные крестьяне составляют большую половину всего народонаселения;
35;1866 г.;1866;19 хлебопашество у инородцев начинает мало-помалу увеличиваться, и быт начавших заниматься земледели;
36;1865 г.;1865;19 хлебопашество у инородцев начинает мало-помалу увеличиваться, и быт начавших заниматься земледели;
37;1866 г.;1866;20 Сверх того, в губернии водится и пчеловодство. В течение;
38;1865 г.;1865;20 Сверх того, в губернии водится и пчеловодство. В течение;
39;1866 г.;1866;20 Сверх того, в губернии водится и пчеловодство. В течение;
40;1866 г.;1866;21 то, что рогатый скот, содержимый у некоторых поселенцев и переселенцев из внутренних губерний в с;
41;1865 г.;1865;21 то, что рогатый скот, содержимый у некоторых поселенцев и переселенцев из внутренних губерний в с;
42;1866 г.;1866;21 то, что рогатый скот, содержимый у некоторых поселенцев и переселенцев из внутренних губерний в с;
43;1866 г.;1866;22 В;
44;1866 г.;1866;22 В;
45;1866 г.;1866;22 В;
46;1868 г.;1868;23 С 78 421 души разного звания податного сословия следовало 316 рекрутов, прием которых производилс;
47;1868 г.;1868;23 С 78 421 души разного звания податного сословия следовало 316 рекрутов, прием которых производилс;
48;1865 г.;1865;24 Д. Городские доходы Доходы и расходы городов против;
